item	file	line	kind	origin	status	evidence
RENDER_RECT_OUTLINE_OFFSET	src/bloodprg.rs	106	const	0xbb5,0x0B8FF	ASM	/// Touched by the game at `mov ax, word ptr [0xbb5]` @`0x0B8FF`, found by decoding forward /// from a verified routine entry (`re/tools/refs_in_routine.py`).
RENDER_DITHER_RECT_FILL_OFFSET	src/bloodprg.rs	107	const		UNVERIFIED	
RENDER_RECT_FILL_OFFSET	src/bloodprg.rs	108	const		UNVERIFIED	
RENDER_SCENE_BAND_FILL_OFFSET	src/bloodprg.rs	109	const		UNVERIFIED	
RENDER_SECONDARY_BAND_FILL_OFFSET	src/bloodprg.rs	110	const		UNVERIFIED	
RENDER_FRAMEBUFFER_COPY_OFFSET	src/bloodprg.rs	111	const		UNVERIFIED	
RENDER_SECONDARY_FRAMEBUFFER_COPY_OFFSET	src/bloodprg.rs	112	const		UNVERIFIED	
RENDER_VGA_PLANAR_TO_LINEAR_COPY_OFFSET	src/bloodprg.rs	113	const		UNVERIFIED	
RENDER_PLANAR_COPY_OFFSET	src/bloodprg.rs	114	const		UNVERIFIED	
RENDER_RESOURCE_FILE_LOAD_OFFSET	src/bloodprg.rs	115	const		UNVERIFIED	
RENDER_SPRITE_SLOT_LOAD_OFFSET	src/bloodprg.rs	116	const		UNVERIFIED	
RENDER_SPRITE_SLOT_STATE_OFFSET	src/bloodprg.rs	117	const		UNVERIFIED	
RENDER_SPRITE_SLOT_RESOURCE_LOAD_OFFSET	src/bloodprg.rs	118	const		UNVERIFIED	
RENDER_SPRITE_SLOT_POSITION_OFFSET	src/bloodprg.rs	119	const		UNVERIFIED	
RENDER_SPRITE_SLOT_RANGE_DIRTY_OFFSET	src/bloodprg.rs	120	const		UNVERIFIED	
RENDER_SPRITE_SLOT_EXTENT_OFFSET	src/bloodprg.rs	121	const		UNVERIFIED	
RENDER_SPRITE_SLOT_COMMIT_RANGE_OFFSET	src/bloodprg.rs	122	const		UNVERIFIED	
RENDER_SPRITE_SLOT_DIRTY_RANGE_RENDER_OFFSET	src/bloodprg.rs	123	const		UNVERIFIED	
RENDER_SPRITE_BLITTER_TABLE_OFFSET	src/bloodprg.rs	124	const		UNVERIFIED	
RENDER_SPRITE_BLITTER_TABLE_FILE_OFFSET	src/bloodprg.rs	125	const		DATA	
RENDER_SPRITE_BLITTER_ENTRY_COUNT	src/bloodprg.rs	134	const	0x44B3,0x1592,0x4522,0x2F90,0x299,0x202,0x40E	ASM	/// EIGHT entries, and the bound is in the code: the dispatcher at `0x44B3` does /// `mov bx,ax / shr bx,1 / and bx,0x0E` before `mov bx,cs:[bx+0x1592]`, so the /// index is masked to the even values 
RENDER_SPRITE_BLITTER_INDEX_MASK_IMMEDIATE	src/bloodprg.rs	136	const	0x44B7	ASM	/// File offset of the `and bx,imm8` operand that bounds the index (`0x44B7`).
RENDER_SPRITE_BLIT_RAW_TRANSPARENT_OFFSET	src/bloodprg.rs	137	const		TESTED	
RENDER_SPRITE_BLIT_RLE_TRANSPARENT_OFFSET	src/bloodprg.rs	138	const		TESTED	
RENDER_SPRITE_BLIT_RAW_OPAQUE_OFFSET	src/bloodprg.rs	139	const		TESTED	
RENDER_SPRITE_BLIT_RLE_OPAQUE_OFFSET	src/bloodprg.rs	140	const		TESTED	
RENDER_SPRITE_BLIT_SCALED_TRANSPARENT_OFFSET	src/bloodprg.rs	141	const		TESTED	
RENDER_SPRITE_BLIT_NOOP_5_OFFSET	src/bloodprg.rs	142	const		TESTED	
RENDER_SPRITE_BLIT_NOOP_6_OFFSET	src/bloodprg.rs	143	const		TESTED	
RENDER_SPRITE_BLIT_NOOP_7_OFFSET	src/bloodprg.rs	144	const		TESTED	
RENDER_DIRTY_RECTS_COPY_OFFSET	src/bloodprg.rs	145	const		TESTED	
NAV_CODE_SEGMENT	src/bloodprg.rs	146	const		TESTED	
NAV_ACTOR_SUBDISPATCH_TABLE_FILE_OFFSET	src/bloodprg.rs	147	const		TESTED	
NAV_ACTOR_SUBDISPATCH_ENTRY_COUNT	src/bloodprg.rs	148	const		UNVERIFIED	
NAV_CHOICE_SUBDISPATCH_TABLE_FILE_OFFSET	src/bloodprg.rs	149	const		TESTED	
NAV_CHOICE_SUBDISPATCH_ENTRY_COUNT	src/bloodprg.rs	150	const		UNVERIFIED	
SHIP_3D_INTERPOLATION_GATE_SEGMENT	src/bloodprg.rs	151	const		TESTED	
SHIP_3D_INTERPOLATION_GATE_OFFSET	src/bloodprg.rs	152	const		TESTED	
SHIP_3D_TARGET_QUERY_LAYOUT_SEGMENT	src/bloodprg.rs	153	const		TESTED	
SHIP_3D_TARGET_QUERY_LAYOUT_OFFSET	src/bloodprg.rs	154	const		TESTED	
SHIP_PRESENTATION_SEGMENT	src/bloodprg.rs	162	const	0x600,0x0A9A,0xAFA0,0x031b,0xB2BB,0x06f2,0xB692	ASM	/// THE SHIP-3D CODE SEGMENT, and the base every offset below is relative to: /// `file = 0x600 + 0x0A9A*16 = 0xAFA0`. The offsets are not free-floating /// numbers — each resolves to a routine this c
SHIP_PRESENTATION_ENTRY_OFFSET	src/bloodprg.rs	163	const		ASM	
SHIP_3D_HUD_INIT_OFFSET	src/bloodprg.rs	164	const		ASM	
SHIP_3D_ALT_FRAMEBUFFER_BAND_COPY_CALL_OFFSET	src/bloodprg.rs	165	const		ASM	
SHIP_3D_TARGET_RECORD_SELECT_OFFSET	src/bloodprg.rs	166	const		ASM	
SHIP_3D_NAVIGATION_UPDATE_OFFSET	src/bloodprg.rs	167	const		ASM	
SHIP_3D_TEMP_SND_SETUP_OFFSET	src/bloodprg.rs	168	const		ASM	
SHIP_3D_TEMP_SND_LOAD_CALL_OFFSET	src/bloodprg.rs	169	const		ASM	
SHIP_3D_TEMP_SND_RESTORE_CALL_OFFSET	src/bloodprg.rs	170	const		ASM	
SHIP_3D_TRANSITION_STATE_OFFSET	src/bloodprg.rs	171	const		ASM	
SHIP_3D_PLANE_BAND_COPY_OFFSET	src/bloodprg.rs	172	const		ASM	
SHIP_3D_DEPTH_SCROLL_STEP_OFFSET	src/bloodprg.rs	173	const		ASM	
SHIP_3D_TARGET_LIST_DS_OFFSET	src/bloodprg.rs	181	const	0x250b,0xB2C3	ASM	/// THE SHIP-3D DS STATE BYTES. Each of these is an ADDRESS, and its evidence is /// the instruction that touches it; the RULES they take part in are decoded in /// `ship3d.rs` and `vm.rs`, which is w
SHIP_3D_CURRENT_TARGET_DS_OFFSET	src/bloodprg.rs	183	const	0x251b,0xB21A	ASM	/// The presented target; a repeat of it is not re-committed — `cmp ax,[0x251b]` @`0xB21A`.
SHIP_3D_SEQUENCE_ACTIVE_DS_OFFSET	src/bloodprg.rs	185	const	0x252a,0xB657,0xB29A	ASM	/// `test byte [0x252a],1` @`0xB657`, and cleared by the HUD init at `0xB29A`.
SHIP_3D_TARGET_SELECT_PHASE_DS_OFFSET	src/bloodprg.rs	187	const	0xb2fd,0x252b,0xB2DC	ASM	/// Bit 0 = build the list, bit 1 = it is open (`0xb2fd`) — `test byte [0x252b],1` @`0xB2DC`.
SHIP_3D_TARGET_FALLBACK_DS_OFFSET	src/bloodprg.rs	189	const	0x252c,0xB2BE	ASM	/// Set when the selector falls back to the inline table — `mov byte [0x252c],0` @`0xB2BE`.
SHIP_3D_HUD_FLAG_DS_OFFSET	src/bloodprg.rs	191	const	0x2793,0x86F1	ASM	/// The dispatcher's own gate — `test byte [0x2793],8` @`0x86F1`, the first instruction of `nav_choice_dispatch`.
SHIP_3D_DEPTH_OFFSET_DS_OFFSET	src/bloodprg.rs	193	const	0x2527,0xB6EC,0xB765	ASM	/// `mov bx,word ptr [0x2527]` @`0xB6EC`, the band copy's source depth; also read by the scroll step at `0xB765`.
SHIP_3D_PLANE_COPY_ENABLE_DS_OFFSET	src/bloodprg.rs	195	const	0x252e,0xB6E5,0xB129,0xB65E	ASM	/// `test byte [0x252e],1` @`0xB6E5` gates the plane-band copy; set at `0xB129`, cleared at `0xB65E`.
SHIP_3D_OPENING_FLAG_DS_OFFSET	src/bloodprg.rs	197	const	0x252f,0xB6A5	ASM	/// The transition opening flag — `mov byte [0x252f],1` @`0xB6A5`.
SHIP_3D_CLOSING_FLAG_DS_OFFSET	src/bloodprg.rs	199	const	0x2530,0xB6BD	ASM	/// The transition closing flag — `mov byte [0x2530],1` @`0xB6BD`.
SHIP_3D_DEPTH_STEP_DS_OFFSET	src/bloodprg.rs	201	const	0xb6b8,0xb336,0x2531,0xB6A0	ASM	/// The step: 4 opening, 8 closing (`0xb6b8`), 6 on the back row (`0xb336`) — `mov byte [0x2531],4` @`0xB6A0`.
SHIP_3D_EXIT_PENDING_DS_OFFSET	src/bloodprg.rs	203	const	0x2532,0xB288	ASM	/// Set before the world-view teardown, which the opening flag then gates — `mov byte [0x2532],1` @`0xB288`.
SHIP_3D_TRANSITION_ARMED_DS_OFFSET	src/bloodprg.rs	205	const	0xb692,0x2533,0xB6AA	ASM	/// The armed latch the updater tests first (`0xb692`) — `mov byte [0x2533],1` @`0xB6AA`.
SHIP_3D_FALLBACK_TARGET_TABLE_DS_OFFSET	src/bloodprg.rs	207	const	0x2537,0xB2D4	ASM	/// The ds-relative fallback list, used when the primary is empty — `mov si,0x2537` @`0xB2D4`.
SHIP_3D_NAVIGATION_TRIGGER_DS_OFFSET	src/bloodprg.rs	209	const	0x27d8,0x9EBB,0x5C8A	ASM	/// Armed by the presentation teardown — `mov byte [0x27d8],1` @`0x9EBB` (`travel_activate_a`), and cleared at `0x5C8A`.
SHIP_3D_NAV_CHOICE_SELECTED_DS_OFFSET	src/bloodprg.rs	211	const	0x2a19,0x87B0,0x883B,0x8956	ASM	/// Cleared by every handler that finishes — `mov word ptr [0x2a19],0` @`0x87B0`, `0x883B` and `0x8956`.
SHIP_3D_NAV_CHOICE_GATE_DS_OFFSET	src/bloodprg.rs	214	const	0x2795,0x0B0B1	ASM	/// Touched by the game at `mov word ptr [0x2795], 0xb3` @`0x0B0B1`, found by decoding forward /// from a verified routine entry (`re/tools/refs_in_routine.py`).
SHIP_3D_NAV_CHOICE_HOLD_TIMER_DS_OFFSET	src/bloodprg.rs	215	const		UNVERIFIED	
SHIP_3D_NAV_CHOICE_PHASE_DS_OFFSET	src/bloodprg.rs	217	const	0x2565,0x86FB,0xf29,0x8713,0x8735,0x87BE,0x8848	ASM	/// The handler PHASE bit — `test byte [0x2565],1` @`0x86FB`, read by the dispatcher just before `call word cs:[bx+0xf29]` and by every handler in turn (`0x8713`, `0x8735`, `0x87BE`, `0x8848`).
SHIP_3D_NAV_CHOICE_TARGET_Y_DS_OFFSET	src/bloodprg.rs	218	const		UNVERIFIED	
SHIP_3D_NAV_CHOICE_LEFT_GATE_DS_OFFSET	src/bloodprg.rs	220	const	0x2736,0x892C,0x886C	ASM	/// `mov byte ptr [0x2736],1` @`0x892C`, inside nav-choice handler 4 (`0x886C`, dispatch-table entry 4).
SHIP_3D_NAV_CHOICE_RIGHT_GATE_DS_OFFSET	src/bloodprg.rs	222	const	0x2737,0x893C	ASM	/// `mov byte ptr [0x2737],1` @`0x893C`, the right-motion twin of the left gate ten instructions earlier.
SHIP_3D_NAV_CHOICE_MENU_GATE_DS_OFFSET	src/bloodprg.rs	224	const	0x259b,0x88C7	ASM	/// `mov byte ptr [0x259b],1` @`0x88C7`, also in handler 4.
SHIP_3D_NAV_CHOICE_SOUND_GATE_DS_OFFSET	src/bloodprg.rs	226	const	0xb13,0x8947	ASM	/// `mov byte ptr [0xb13],2` @`0x8947` — note the value is 2, not 1, unlike the motion gates beside it.
SHIP_3D_INTERPOLATION_DURATION_DS_OFFSET	src/bloodprg.rs	227	const		UNVERIFIED	
SHIP_3D_INTERPOLATION_TICK_DS_OFFSET	src/bloodprg.rs	229	const	0xadb,0x8741,0x87E4,0x887B	ASM	/// Reset on handler entry — `mov byte ptr [0xadb],0` @`0x8741`, `0x87E4` and `0x887B`.
SHIP_3D_TARGET_EXTRA_LABEL_DS_OFFSET	src/bloodprg.rs	230	const		UNVERIFIED	
SHIP_3D_TARGET_LAYOUT_CENTER_X_DS_OFFSET	src/bloodprg.rs	232	const	0xac6,0x84AD	ASM	/// The list widget's horizontal ANCHOR — `shr dx,1 / sub dx,[0xac6] / neg dx` @`0x84AD`, which turns a width into an x (the `sub` itself is two instructions in).
SHIP_3D_TARGET_LAYOUT_DRAW_PTR_DS_OFFSET	src/bloodprg.rs	235	const	0xac8,0x084D8	ASM	/// Touched by the game at `mov si, word ptr [0xac8]` @`0x084D8`, found by decoding forward /// from a verified routine entry (`re/tools/refs_in_routine.py`).
SHIP_3D_TARGET_LAYOUT_PRESERVE_WIDTHS_DS_OFFSET	src/bloodprg.rs	236	const		UNVERIFIED	
SHIP_3D_TARGET_LAYOUT_EXTRA_ENTRY_DS_OFFSET	src/bloodprg.rs	239	const	0xadd,0x0B0DC	ASM	/// Touched by the game at `mov byte ptr [0xadd], 1` @`0x0B0DC`, found by decoding forward /// from a verified routine entry (`re/tools/refs_in_routine.py`).
SHIP_3D_TARGET_MOUSE_X_DS_OFFSET	src/bloodprg.rs	242	const	0xa2a,0x0B5A5	ASM	/// Touched by the game at `push word ptr [0xa2a]` @`0x0B5A5`, found by decoding forward /// from a verified routine entry (`re/tools/refs_in_routine.py`).
SHIP_3D_TARGET_MOUSE_Y_DS_OFFSET	src/bloodprg.rs	245	const	0xa2c,0x0B5A9	ASM	/// Touched by the game at `push word ptr [0xa2c]` @`0x0B5A9`, found by decoding forward /// from a verified routine entry (`re/tools/refs_in_routine.py`).
SHIP_3D_TARGET_REQUESTED_PRESENTATION_DS_OFFSET	src/bloodprg.rs	248	const	0xa32,0x0B0BC	ASM	/// Touched by the game at `mov word ptr [0xa32], 1` @`0x0B0BC`, found by decoding forward /// from a verified routine entry (`re/tools/refs_in_routine.py`).
SHIP_3D_TARGET_PRESENTATION_STATE_DS_OFFSET	src/bloodprg.rs	251	const	0xa34,0x0850F	ASM	/// Touched by the game at `cmp word ptr [0xa34], 6` @`0x0850F`, found by decoding forward /// from a verified routine entry (`re/tools/refs_in_routine.py`).
SHIP_3D_TARGET_ACTIVATE_FLAG_DS_OFFSET	src/bloodprg.rs	253	const	0xa3e,0x858D	ASM	/// The mouse-is-on-it bit the row colour depends on — `test byte gs:[0xa3e],1` @`0x858D`.
SHIP_3D_TARGET_HOVER_ROW_DS_OFFSET	src/bloodprg.rs	255	const	0x27c7,0x850C	ASM	/// The hovered row the draw compares against — `mov [0x27c7],al` @`0x850C`.
SHIP_3D_TARGET_QUERY_MODE_DS_OFFSET	src/bloodprg.rs	257	const	0x27e6,0xB2E3,0xB2ED	ASM	/// Set around the layout prepass call — `mov byte [0x27e6],1` @`0xB2E3`, cleared at `0xB2ED`.
SHIP_3D_TARGET_SELECTION_DS_OFFSET	src/bloodprg.rs	260	const	0x27e7,0x08430	ASM	/// Touched by the game at `mov byte ptr [0x27e7], 0` @`0x08430`, found by decoding forward /// from a verified routine entry (`re/tools/refs_in_routine.py`).
SHIP_3D_TARGET_LAYOUT_RECT_DS_OFFSET	src/bloodprg.rs	262	const	0x2aab,0xB305	ASM	/// The zoom/blit rect the selector hands the panel helper — `mov si,0x2aab` @`0xB305`.
SHIP_3D_TARGET_WIDTH_TABLE_DS_OFFSET	src/bloodprg.rs	263	const		UNVERIFIED	
SHIP_3D_PRESENTATION_HOLD_TIMER_DS_OFFSET	src/bloodprg.rs	264	const		UNVERIFIED	
SHIP_3D_TEMP_SND_TRIGGER_DS_OFFSET	src/bloodprg.rs	266	const	0xae4,0xB592	ASM	/// The temp-SND setup's own gate — `test byte [0xae4],1` @`0xB592`, the routine's first instruction.
SHIP_3D_TEMP_SND_PHASE_DS_OFFSET	src/bloodprg.rs	268	const	0xae5,0xB5B0	ASM	/// Which of the three callbacks to run — `mov al,byte ptr [0xae5]` @`0xB5B0`.
