function	classification	exposure	contract	original_returns	recovered_returns	original_carriers	recovered_carriers	original_evidence	recovered_evidence	escape_sources
vga_mode_x_initialize	closed_world_exact	direct_rebuilt_calls	none	far:0	far:0	void	void	direct callers	direct callers	none
set_video_mode_saved	closed_world_exact	direct_rebuilt_calls	none	far:0	far:0	void	void	direct callers	direct callers	none
cpu_386_or_newer	closed_world_exact	direct_rebuilt_calls	none	far:0	far:0	void	void	direct callers	direct callers	none
mouse_reset_hide	closed_world_exact	direct_rebuilt_calls	none	far:0	far:0	void	void	direct callers	direct callers	none
poll_mouse	closed_world_difference	direct_rebuilt_calls	none	far:0	far:0	void	ax:8	direct callers	direct callers	none
mouse_set_ranges	closed_world_exact	direct_rebuilt_calls	none	far:0	far:0	void	void	direct callers	direct callers	none
print_string_dos	closed_world_difference	direct_rebuilt_calls	none	far:0	far:0	void	ax:16	direct callers	direct callers	none
error_overlay_draw	closed_world_exact	direct_rebuilt_calls	none	far:0	far:0	void	void	direct callers	direct callers	none
layout_offset_calc	closed_world_difference	direct_rebuilt_calls	none	far:0	far:0	void	ax:16,bx:16	direct callers	direct callers	none
bloodprg_main	closed_world_exact	direct_rebuilt_calls	none	far:0	far:0	void	void	direct callers	direct callers	none
cdrom_audio_prepare	closed_world_exact	direct_rebuilt_calls	none	near:0	near:0	void	void	direct callers	direct callers	none
cdrom_audio_stop	closed_world_exact	direct_rebuilt_calls	none	far:0	far:0	void	void	direct callers	direct callers	none
cdrom_audio_play_track_2	closed_world_exact	direct_rebuilt_calls	none	far:0	far:0	void	void	direct callers	direct callers	none
startup_transient_files_delete	closed_world_exact	direct_rebuilt_calls	none	near:0	near:0	void	void	direct callers	direct callers	none
object_heap_access	closed_world_exact	direct_rebuilt_calls	none	near:0	near:0	void	void	direct callers	direct callers	none
confirm_dialog_step	closed_world_exact	direct_rebuilt_calls	none	near:0	near:0	void	void	direct callers	direct callers	none
resource_archive_index_backing_initialize	closed_world_exact	direct_rebuilt_calls	none	near:0	near:0	void	void	direct callers	direct callers	none
manu3_hand_frame_dispatch	closed_world_exact	direct_rebuilt_calls	none	near:0	near:0	void	void	direct callers	direct callers	none
startup_loading_screen_and_write_directory_prepare	closed_world_exact	direct_rebuilt_calls	none	near:0	near:0	void	void	direct callers	direct callers	none
palette_upload_if_dirty	closed_world_exact	direct_rebuilt_calls	none	near:0	near:0	void	void	direct callers	direct callers	none
page_offset_helper	closed_world_exact	direct_rebuilt_calls	none	near:0	near:0	void	void	direct callers	direct callers	none
back_buffer_init	closed_world_difference	direct_rebuilt_calls	none	far:0	far:0	void	ax:8	direct callers	direct callers	none
backbuffer_clear_flags	closed_world_difference	direct_rebuilt_calls	none	far:0	far:0	void	ax:16	direct callers	direct callers	none
scene_transition_step	closed_world_exact	direct_rebuilt_calls	none	near:0	near:0	void	void	direct callers	direct callers	none
main_loop_hud_refresh	closed_world_exact	direct_rebuilt_calls	none	near:0	near:0	void	void	direct callers	direct callers	none
presentation_choice_transition_step	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	void	ax:8	direct callers	direct callers	none
save_load_menu_step	closed_world_exact	direct_rebuilt_calls	none	near:0	near:0	void	void	direct callers	direct callers	none
vm_patch_stream_apply	closed_world_exact	direct_rebuilt_calls	none	near:0	near:0	void	void	direct callers	direct callers	none
vm_patch_stream_build	closed_world_exact	direct_rebuilt_calls	none	near:0	near:0	ax:16	ax:16	direct callers	direct callers	none
save_slot_name_edit_step	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	flags:1	ax:16	direct callers	direct callers	none
framebuffer_rect_interpolate_and_remap_step	closed_world_difference	direct_rebuilt_calls	none	far:0	far:0	flags:1	ax:16	direct callers	direct callers	none
presentation_line_zero_run	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	ax:16	void	direct callers	direct callers	none
presentation_line_one_stream_run	closed_world_exact	direct_rebuilt_calls	none	near:0	near:0	void	void	direct callers	direct callers	none
palette_transition_step	closed_world_exact	direct_rebuilt_calls	none	far:0	far:0	void	void	direct callers	direct callers	none
mouse_button_edges_update	closed_world_exact	direct_rebuilt_calls	none	near:0	near:0	void	void	direct callers	direct callers	none
input_action_dispatch	closed_world_difference	direct_rebuilt_calls	none	far:0	far:0	void	ax:8	direct callers	direct callers	none
input_action_move_previous	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	ax:16,di:16,si:16	void	callee exits	direct callers	none
input_action_move_next	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	ax:16,bx:16,di:16,dx:16	void	callee exits	direct callers	none
input_action_noop_2	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	void	void	callee exits	direct callers	none
input_action_noop_3	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	void	void	callee exits	direct callers	none
input_action_request_shutdown	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	void	void	callee exits	direct callers	none
input_action_noop_5	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	void	void	callee exits	direct callers	none
input_action_noop_9	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	void	void	callee exits	direct callers	none
input_action_noop_10	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	void	void	callee exits	direct callers	none
input_action_noop_11	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	void	void	callee exits	direct callers	none
input_action_noop_12	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	void	void	callee exits	direct callers	none
input_action_noop_13	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	void	void	callee exits	direct callers	none
input_action_noop_14	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	void	void	callee exits	direct callers	none
input_action_accept	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	ax:16,bx:16,dx:16	void	callee exits	direct callers	none
input_action_cancel	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	di:16	void	callee exits	direct callers	none
input_action_toggle_pause	closed_world_difference	direct_rebuilt_calls	none	near:0	noreturn:0	void	void	callee exits	direct callers	none
input_action_latch_text_key	closed_world_exact	direct_rebuilt_calls	none	near:0	near:0	void	void	direct callers	direct callers	none
palette_blend_remap_table_build	closed_world_difference	direct_rebuilt_calls	none	far:0	far:2	void	ax:16	direct callers	direct callers	none
palette_range_interpolate	closed_world_difference	direct_rebuilt_calls	none	far:0	far:4	void	void	direct callers	direct callers	none
tint_table_build_banked	closed_world_exact	direct_rebuilt_calls	none	far:0	far:0	void	void	direct callers	direct callers	none
palette_scene_entries_clear	closed_world_difference	direct_rebuilt_calls	none	far:0	far:0	void	ax:16	direct callers	direct callers	none
decimal_append_i16	closed_world_exact	direct_rebuilt_calls	none	far:0	far:0	void	void	direct callers	direct callers	none
decimal_append_i32	closed_world_exact	direct_rebuilt_calls	none	far:0	far:0	void	void	direct callers	direct callers	none
string_compare	closed_world_difference	direct_rebuilt_calls	none	far:0	far:0	flags:1	ax:16	direct callers	direct callers	none
ascii_digit_parse	closed_world_exact	direct_rebuilt_calls	none	far:0	far:0	ax:16	ax:16	direct callers	direct callers	none
bloodprg_strlen	closed_world_exact	direct_rebuilt_calls	none	far:0	far:0	ax:16	ax:16	direct callers	direct callers	none
kbd_read_int16	closed_world_exact	direct_rebuilt_calls	none	far:0	far:0	ax:16	ax:16	direct callers	direct callers	none
resource_source_select	closed_world_difference	direct_rebuilt_calls	none	far:0	far:0	void	ax:16	direct callers	direct callers	none
resource_archive_match	closed_world_exact	direct_rebuilt_calls	none	near:0	near:0	void	void	direct callers	direct callers	none
startup_write_directory_enter	closed_world_difference	direct_rebuilt_calls	none	far:0	far:0	void	ax:16	direct callers	direct callers	none
startup_original_directory_restore	closed_world_exact	direct_rebuilt_calls	none	far:0	far:0	void	void	direct callers	direct callers	none
startup_resource_file_copy	closed_world_exact	direct_rebuilt_calls	none	far:0	far:0	void	void	direct callers	direct callers	none
resource_load_by_id	closed_world_exact	direct_rebuilt_calls	none	far:0	far:0	ax:16	ax:16	direct callers	direct callers	none
resource_name_lookup	closed_world_difference	direct_rebuilt_calls	none	far:0	far:0	bp:32	ax:16,dx:16	direct callers	direct callers	none
resource_file_load_to_xms	closed_world_exact	direct_rebuilt_calls	none	far:0	far:0	void	void	direct callers	direct callers	none
resource_file_load_to_ems	closed_world_exact	direct_rebuilt_calls	none	far:0	far:0	void	void	direct callers	direct callers	none
resource_file_load	closed_world_difference	direct_rebuilt_calls	none	far:0	far:0	ax:32	ax:16,dx:16,es:16	direct callers	direct callers	none
file_create_and_write	closed_world_difference	direct_rebuilt_calls	none	far:0	far:4	ax:32	ax:8	direct callers	direct callers	none
pbm_image_load_and_decode	closed_world_difference	direct_rebuilt_calls	none	far:0	far:0	void	ax:16,bx:16	direct callers	direct callers	none
bridge_panorama_frame_unpack	closed_world_exact	direct_rebuilt_calls	none	far:0	far:0	void	void	direct callers	direct callers	none
cmos_rtc_read	closed_world_exact	direct_rebuilt_calls	none	far:0	far:0	void	void	direct callers	direct callers	none
blood_prng_next	closed_world_exact	direct_rebuilt_calls	none	far:0	far:0	ax:16	ax:16	direct callers	direct callers	none
binary_u32_sqrt	closed_world_exact	direct_rebuilt_calls	none	far:0	far:0	void	void	direct callers	direct callers	none
far_memmove	closed_world_difference	direct_rebuilt_calls	none	far:0	far:4	void	bx:16	direct callers	direct callers	none
vga_palette_write	closed_world_difference	direct_rebuilt_calls	none	far:0	far:0	void	ax:16	direct callers	direct callers	none
vga_dac_clear	closed_world_difference	direct_rebuilt_calls	none	far:0	far:0	void	ax:16	direct callers	direct callers	none
font8x8_text_draw_display	closed_world_difference	direct_rebuilt_calls	none	far:0	far:2	void	void	direct callers	direct callers	none
square_caps_text_draw_display	closed_world_difference	direct_rebuilt_calls	none	far:0	far:2	void	ax:16	direct callers	direct callers	none
main_font_text_draw_display	closed_world_difference	direct_rebuilt_calls	none	far:0	far:2	void	void	direct callers	direct callers	none
gfx_horizontal_span	closed_world_exact	direct_rebuilt_calls	none	far:0	far:0	void	void	direct callers	direct callers	none
gfx_vertical_span	closed_world_difference	direct_rebuilt_calls	none	far:0	far:0	bx:16	void	direct callers	direct callers	none
framebuffer_rect_palette_remap	closed_world_difference	direct_rebuilt_calls	none	far:0	far:4	void	ax:16,bx:16,cx:16	direct callers	direct callers	none
planar_ui_text_render_10row	closed_world_difference	direct_rebuilt_calls	none	far:0	far:2	void	void	direct callers	direct callers	none
planar_dialogue_text_render	closed_world_difference	direct_rebuilt_calls	none	far:0	far:2	void	void	direct callers	direct callers	none
subtitle_reveal_draw_wrapper	closed_world_exact	direct_rebuilt_calls	none	far:0	far:0	void	void	direct callers	direct callers	none
small_text_render	closed_world_difference	direct_rebuilt_calls	none	far:0	far:2	void	void	direct callers	direct callers	none
gfx_clipped_span_fill	closed_world_exact	direct_rebuilt_calls	none	far:0	far:0	void	void	direct callers	direct callers	none
gfx_clipped_planar_vertical_span	closed_world_exact	direct_rebuilt_calls	none	far:0	far:0	void	void	direct callers	direct callers	none
framebuffer_noise_rect	closed_world_exact	direct_rebuilt_calls	none	far:0	far:0	void	void	direct callers	direct callers	none
framebuffer_rect_fill	closed_world_exact	direct_rebuilt_calls	none	far:0	far:0	void	void	direct callers	direct callers	none
vga_planar_to_chunky	closed_world_exact	direct_rebuilt_calls	none	far:0	far:0	void	void	direct callers	direct callers	none
chunky_to_planar_framebuffer	closed_world_exact	direct_rebuilt_calls	none	far:0	far:0	void	void	direct callers	direct callers	none
entity_object_populate	closed_world_difference	direct_rebuilt_calls	none	far:0	far:0	void	ax:16	direct callers	direct callers	none
entity_record_setter	closed_world_difference	direct_rebuilt_calls	none	far:0	far:0	void	es:16	direct callers	direct callers	none
text_width_dual_font	closed_world_exact	direct_rebuilt_calls	none	far:0	far:0	ax:16	ax:16	direct callers	direct callers	none
composite_draw_a	closed_world_difference	direct_rebuilt_calls	none	far:0	far:2	bx:16	void	direct callers	direct callers	none
blit_fill_row_5221	closed_world_difference	direct_rebuilt_calls	none	far:0	far:0	void	ax:16	direct callers	direct callers	none
back_buffer_fill	closed_world_difference	direct_rebuilt_calls	none	far:0	far:0	void	ax:16	direct callers	direct callers	none
full_screen_blit	closed_world_exact	direct_rebuilt_calls	none	far:0	far:0	void	void	direct callers	direct callers	none
fullscreen_copy_to_backbuffer	closed_world_difference	direct_rebuilt_calls	none	far:0	far:0	void	ax:16	direct callers	callee exits	none
resource_named_file_load	closed_world_exact	direct_rebuilt_calls	none	far:0	far:0	void	void	direct callers	direct callers	none
resource_palette_file_blocks_apply	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	bp:32	void	direct callers	direct callers	none
entity_flag_state_transition	closed_world_difference	direct_rebuilt_calls	none	far:0	far:0	void	ax:16	direct callers	direct callers	none
sprite_slot_position_update	closed_world_exact	direct_rebuilt_calls	none	far:0	far:0	void	void	direct callers	direct callers	none
sprite_slot_extent_update	closed_world_exact	direct_rebuilt_calls	none	far:0	far:0	void	void	direct callers	direct callers	none
sprite_slot_range_mark_dirty	closed_world_difference	direct_rebuilt_calls	none	far:0	far:0	void	ax:16	direct callers	direct callers	none
sprite_slot_commit_dirty_range	closed_world_exact	direct_rebuilt_calls	none	far:0	far:0	void	void	direct callers	direct callers	none
sprite_slot_dirty_range_render	closed_world_exact	direct_rebuilt_calls	none	far:0	far:0	void	void	direct callers	direct callers	none
sprite_blit_raw_transparent	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	void	void	callee exits	direct callers	none
sprite_blit_rle_transparent	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	void	void	callee exits	direct callers	none
sprite_blit_raw_opaque	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	void	void	callee exits	direct callers	none
sprite_blit_rle_opaque	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	void	void	callee exits	direct callers	none
sprite_blit_scaled_transparent	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	void	void	callee exits	direct callers	none
sprite_blitter_noop_5	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	void	void	callee exits	direct callers	none
sprite_blitter_noop_6	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	void	void	callee exits	direct callers	none
sprite_blitter_noop_7	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	void	void	callee exits	direct callers	none
dirty_rects_copy_secondary_to_primary	closed_world_difference	direct_rebuilt_calls	none	far:0	far:0	void	ax:16	direct callers	direct callers	none
resource_allocate	closed_world_difference	direct_rebuilt_calls	none	far:0	far:0	ax:16,ds:16,si:16	bx:16,hidden-ds:si-memory:48	direct callers	direct callers	none
resource_release	closed_world_exact	direct_rebuilt_calls	none	far:0	far:0	void	void	direct callers	direct callers	none
resource_free_inner	closed_world_exact	direct_rebuilt_calls	none	far:0	far:0	void	void	direct callers	direct callers	none
resource_handle_resolve	closed_world_difference	direct_rebuilt_calls	none	far:0	far:0	ax:16,ds:16,si:16	hidden-ds:si-memory:48	direct callers	direct callers	none
resource_get_field4	closed_world_exact	direct_rebuilt_calls	none	far:0	far:0	ax:16	ax:16	direct callers	direct callers	none
vm_resource_profile_select	closed_world_difference	direct_rebuilt_calls	none	far:0	far:0	void	ax:16	direct callers	direct callers	none
vm_record_state_proc	closed_world_exact	direct_rebuilt_calls	none	far:0	far:0	void	void	direct callers	direct callers	none
vm_run_wrapper	closed_world_exact	direct_rebuilt_calls	none	far:0	far:0	ax:16	ax:16	direct callers	direct callers	none
vm_script_block_scan	closed_world_exact	direct_rebuilt_calls	none	near:0	near:0	void	void	direct callers	direct callers	none
vm_control_flow	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	void	es:16	direct callers	direct callers	none
value_scan_match	closed_world_exact	direct_rebuilt_calls	none	near:0	near:0	ax:16	ax:16	direct callers	direct callers	none
vm_flag_test_67b1	closed_world_exact	direct_rebuilt_calls	none	near:0	near:0	void	void	direct callers	direct callers	none
presentation_scan	closed_world_exact	direct_rebuilt_calls	none	near:0	near:0	ax:16	ax:16	direct callers	direct callers	none
vm_state_processor	closed_world_exact	direct_rebuilt_calls	none	near:0	near:0	void	void	direct callers	direct callers	none
record_c1_ship3d_action	closed_world_exact	direct_rebuilt_calls	none	near:0	near:0	void	void	direct callers	direct callers	none
vm_op_a3_collect	closed_world_exact	direct_rebuilt_calls	none	near:0	near:0	void	void	direct callers	direct callers	none
vm_special_slot_remove	closed_world_exact	direct_rebuilt_calls	none	near:0	near:0	void	void	direct callers	direct callers	none
vm_special_slot_insert	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	flags:1	ax:16	direct callers	direct callers	none
vm_field_offset	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	ax:32	ax:16,es:16	direct callers	direct callers	none
vm_record_lookup_by_threshold	closed_world_exact	direct_rebuilt_calls	none	near:0	near:0	ax:16	ax:16	direct callers	direct callers	none
active_object_list_build	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	void	es:16	direct callers	direct callers	none
ship_3d_position_distance	closed_world_difference	direct_rebuilt_calls	none	near:0	near:2	ax:16	ax:16,es:16	direct callers	direct callers	none
ship_3d_position_field_resolve	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	ax:32	ax:16,dx:16,es:16	direct callers	direct callers	none
ship_3d_object_table_bit_test_full	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	void	ax:16	direct callers	direct callers	none
ship_3d_nav_source_list_build_full	closed_world_difference	direct_rebuilt_calls	none	far:0	far:0	bp:16	bx:16	direct callers	direct callers	none
vm_token_advance	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	si:16	ax:16,dx:16	direct callers	direct callers	none
vm_token_special	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	si:16	ax:16,dx:16	direct callers	direct callers	none
vm_condition_5	closed_world_difference	direct_rebuilt_calls	none	near:0	near:4	cx:8,dx:8,flags:1	ax:16,cx:8	direct callers	direct callers	none
dic_word_lookup	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	ax:16,flags:1	ax:16,dx:16,es:16	callee exits	callee exits	none
scan_zero_word	closed_world_exact	direct_rebuilt_calls	none	near:0	near:0	void	void	direct callers	direct callers	none
vm_branch_fail	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	void	ax:16	direct callers	direct callers	none
vm_op_ce_cond_branch	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	void	es:16	callee exits	callee exits	none
vm_op_d0_cond_branch	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	void	es:16	callee exits	callee exits	none
vm_op_d1_cond_branch	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	void	es:16	callee exits	callee exits	none
vm_op_d2_script_profile_request	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	ax:32,si:16	ax:16,es:16	callee exits	callee exits	none
vm_op_cf_clear_state	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	void	es:16	callee exits	callee exits	none
vm_op_cc_set_record_byte	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	ax:32,bp:16,si:16	ax:16,dx:16,es:16	callee exits	callee exits	none
vm_op_ca_compare_var	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	ax:16,dx:8,si:16	ax:16,dx:16,es:16	callee exits	callee exits	none
vm_op_cb_compare_byte	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	ax:16,bx:16,dx:8,si:16	ax:16,dx:16,es:16	callee exits	callee exits	none
vm_op_a0_push	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	ax:16,bp:16,si:16	ax:16,dx:16,es:16	callee exits	callee exits	none
vm_op_a1_pop	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	ax:16	es:16	callee exits	callee exits	none
vm_op_a2_cond_call	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	ax:16,si:16	ax:16,es:16	callee exits	callee exits	none
vm_op_a3_block	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	ax:16,bp:16,dx:8,si:16	ax:16,dx:16,es:16	callee exits	callee exits	none
vm_op_a4_jump	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	si:16	ax:16,es:16	callee exits	callee exits	none
vm_op_a5_cond_state_array	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	ax:32,bp:16,si:16	ax:16,dx:16,es:16	callee exits	callee exits	none
vm_op_a6_text	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	ax:32,bx:16,cx:16,dx:16	ax:16,dx:16,es:16	callee exits	callee exits	none
strlen_b	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	void	ax:8	direct callers	direct callers	none
vm_op_a7_set_if_presentation	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	ax:16,si:16	ax:16,dx:16,es:16	callee exits	callee exits	none
vm_op_a8_load_string	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	ax:8,bp:16,si:16	ax:16,dx:16,es:16	callee exits	callee exits	none
vm_op_a9_cond_jump	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	ax:16,si:16	ax:16,dx:16,es:16	callee exits	callee exits	none
vm_op_ab_poke_byte	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	ax:8,bx:16,si:16	ax:16,es:16	callee exits	callee exits	none
vm_op_aa_yield	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	void	es:16	callee exits	callee exits	none
vm_op_ac_yield	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	void	es:16	callee exits	callee exits	none
vm_op_shared_state_marker	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	ax:8,bx:16,cx:16,dx:16,si:16	ax:16,dx:16,es:16	callee exits	callee exits	none
vm_op_shared_ae_b0_state	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	ax:16,bx:16,dx:8,si:16	ax:16,dx:16,es:16	callee exits	callee exits	none
vm_op_shared_record_wildcard	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	cx:8,dx:8,si:16	ax:16,dx:16,es:16	callee exits	callee exits	none
vm_op_cd_state_gated	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	bp:16,bx:16,cx:16,dx:16,si:16	ax:16,dx:16,es:16	callee exits	callee exits	none
vm_op_b7_record_op	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	ax:16,bx:16,cx:16,dx:8,si:16	ax:16,dx:16,es:16	callee exits	callee exits	none
vm_op_b8_record_readwrite	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	ax:16,bx:16,si:16	ax:16,dx:16,es:16	callee exits	callee exits	none
vm_op_c1_record_state	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	ax:16,bx:16,cx:16,dx:8	ax:16,dx:16,es:16	callee exits	callee exits	none
vm_op_c4_actor	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	ax:16,bp:16,bx:16,cx:16,dx:16,si:16	ax:16,dx:16,es:16	callee exits	callee exits	none
vm_op_c5_record_match	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	ax:16,bp:16,bx:16,dx:8,si:16	ax:16,dx:16,es:16	callee exits	callee exits	none
vm_op_c6_record_match	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	ax:16,bp:16,dx:8,si:16	ax:16,dx:16,es:16	callee exits	callee exits	none
vm_op_c7_record_match	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	ax:16,bp:16,bx:16,dx:8,si:16	ax:16,dx:16,es:16	callee exits	callee exits	none
vm_op_c2_record_full	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	ax:32,bp:16,bx:16,dx:8,si:16	ax:16,dx:16,es:16	callee exits	callee exits	none
vm_op_c3_state_record	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	ax:16,bp:16,bx:16,dx:8,si:16	ax:16,dx:16,es:16	callee exits	callee exits	none
vm_op_c8_record_match	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	ax:16,bp:16,bx:16,dx:8,si:16	ax:16,dx:16,es:16	callee exits	callee exits	none
vm_op_c9_clear_record_full	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	ax:16,bx:16,cx:16,si:16	ax:16,dx:16,es:16	callee exits	callee exits	none
draw_hud_element_2bc7	closed_world_exact	direct_rebuilt_calls	none	far:0	far:0	void	void	direct callers	direct callers	none
ship_3d_navigation_candidate_build	closed_world_difference	direct_rebuilt_calls	none	far:0	far:0	di:16	void	direct callers	direct callers	none
vm_state_record_processor	closed_world_exact	direct_rebuilt_calls	none	far:0	far:0	void	void	direct callers	direct callers	none
nav_kind2_target_list_build	closed_world_exact	direct_rebuilt_calls	none	far:0	far:0	void	void	direct callers	direct callers	none
ship_3d_presentable_name_list_build	closed_world_exact	direct_rebuilt_calls	none	far:0	far:0	void	void	direct callers	direct callers	none
dlg_menu_words_inline_reveal_step	closed_world_exact	direct_rebuilt_calls	none	far:0	far:0	void	void	direct callers	direct callers	none
vm_cod_scan	closed_world_exact	direct_rebuilt_calls	none	near:0	near:0	void	void	direct callers	direct callers	none
vm_c2_descript_lookup	closed_world_difference	direct_rebuilt_calls	none	far:0	far:0	void	ax:16	direct callers	direct callers	none
nav_chart_list_build	closed_world_exact	direct_rebuilt_calls	none	far:0	far:0	ax:16	ax:16	direct callers	direct callers	none
byte_parser_op_01_mark_b16	closed_world_difference	direct_rebuilt_calls	none	near:0	near:0	void	void	callee exits	direct callers	none
