scenario	script	object	list_index	node_offset	selector_offset	selector	menu_row	choice_offset	choice	dialogue_events
script2:Honk:0613:0	SCRIPT2	Honk	1	0x0613	0x05cf	help	0	0x0001	talk	20
script2:Honk:0613:1	SCRIPT2	Honk	1	0x0613	0x05cf	help	1	0x4051	switch_off	20
script2:Honk:0613:2	SCRIPT2	Honk	1	0x0613	0x05cf	help	2	0x3f56	break	20
script2:Honk:0613:3	SCRIPT2	Honk	1	0x0613	0x05cf	help	3	0x405c	endless_lives	20
script2:Honk:0613:4	SCRIPT2	Honk	1	0x0613	0x05cf	help	4	0x406a	contest	20
script2:Honk:0613:5	SCRIPT2	Honk	1	0x0613	0x05cf	help	5	0x2037	tips	20
script2:Honk:0613:6	SCRIPT2	Honk	1	0x0613	0x05cf	help	6	0x4072	presents	20
script2:Honk:0613:7	SCRIPT2	Honk	1	0x0613	0x05cf	help	7	0x407b	messages	20
script2:Honk:092d:0	SCRIPT2	Honk	1	0x092d	0x3d25	optimization	0	0x0001	talk	11
script2:Honk:092d:1	SCRIPT2	Honk	1	0x092d	0x3d25	optimization	1	0x4204	speed	11
script2:Honk:092d:2	SCRIPT2	Honk	1	0x092d	0x3d25	optimization	2	0x420a	telephone	11
script2:Honk:092d:3	SCRIPT2	Honk	1	0x092d	0x3d25	optimization	3	0x4214	keyboard	11
script2:Honk:092d:4	SCRIPT2	Honk	1	0x092d	0x3d25	optimization	4	0x3e99	mouse	11
script2:Honk:092d:5	SCRIPT2	Honk	1	0x092d	0x3d25	optimization	5	0x421d	joystick	11
script2:Honk:092d:6	SCRIPT2	Honk	1	0x092d	0x3d25	optimization	6	0x4226	screen	11
script2:Honk:092d:7	SCRIPT2	Honk	1	0x092d	0x3d25	optimization	7	0x422d	CDROM	11
script2:Honk:092d:8	SCRIPT2	Honk	1	0x092d	0x3d25	optimization	8	0x0fac	music	11
script2:Honk:092d:9	SCRIPT2	Honk	1	0x092d	0x3d25	optimization	9	0x4233	sounds	11
script2:Honk:0bf5:0	SCRIPT2	Honk	1	0x0bf5	0x3d32	consultation	0	0x0001	talk	1
script2:Honk:0bf5:1	SCRIPT2	Honk	1	0x0bf5	0x3d32	consultation	1	0x4412	therapy	1
script2:Honk:0c23:0	SCRIPT2	Honk	1	0x0c23	0x4412	therapy	0	0x0001	talk	22
script2:Honk:0c23:1	SCRIPT2	Honk	1	0x0c23	0x4412	therapy	1	0x267a	ego	22
script2:Honk:0c23:2	SCRIPT2	Honk	1	0x0c23	0x4412	therapy	2	0x441a	super_ego	22
script2:Honk:0c23:3	SCRIPT2	Honk	1	0x0c23	0x4412	therapy	3	0x4424	under_ego	22
script2:Honk:0c23:4	SCRIPT2	Honk	1	0x0c23	0x4412	therapy	4	0x442e	end_of_month	22
script2:Honk:0c23:5	SCRIPT2	Honk	1	0x0c23	0x4412	therapy	5	0x443b	libido	22
script2:Honk:0c23:6	SCRIPT2	Honk	1	0x0c23	0x4412	therapy	6	0x0dd7	who	22
script2:Honk:0c23:7	SCRIPT2	Honk	1	0x0c23	0x4412	therapy	7	0x0c68	where	22
script2:Honk:0c23:8	SCRIPT2	Honk	1	0x0c23	0x4412	therapy	8	0x0201	when	22
script2:Honk:0c23:9	SCRIPT2	Honk	1	0x0c23	0x4412	therapy	9	0x089a	what	22
script2:Honk:0c23:10	SCRIPT2	Honk	1	0x0c23	0x4412	therapy	10	0x0400	how	22
script2:Honk:0c23:11	SCRIPT2	Honk	1	0x0c23	0x4412	therapy	11	0x2db0	why	22
script2:Honk:0f87:0	SCRIPT2	Honk	1	0x0f87	0x3d3f	calm_down	0	0x0001	talk	13
script2:Honk:0f87:1	SCRIPT2	Honk	1	0x0f87	0x3d3f	calm_down	1	0x0961	one	13
script2:Honk:0f87:2	SCRIPT2	Honk	1	0x0f87	0x3d3f	calm_down	2	0x09b1	two	13
script2:Honk:0f87:3	SCRIPT2	Honk	1	0x0f87	0x3d3f	calm_down	3	0x09cb	three	13
script2:Honk:0f87:4	SCRIPT2	Honk	1	0x0f87	0x3d3f	calm_down	4	0x09d1	four	13
script2:Honk:0f87:5	SCRIPT2	Honk	1	0x0f87	0x3d3f	calm_down	5	0x09d6	five	13
script2:Honk:0f87:6	SCRIPT2	Honk	1	0x0f87	0x3d3f	calm_down	6	0x09db	six	13
script2:Honk:0f87:7	SCRIPT2	Honk	1	0x0f87	0x3d3f	calm_down	7	0x09df	seven	13
script2:Honk:0f87:8	SCRIPT2	Honk	1	0x0f87	0x3d3f	calm_down	8	0x09e5	eight	13
script2:Honk:0f87:9	SCRIPT2	Honk	1	0x0f87	0x3d3f	calm_down	9	0x45cd	nine	13
script2:Honk:10ec:0	SCRIPT2	Honk	1	0x10ec	0x0b56	explanations	0	0x0b4e	bye_bye	36
script2:Honk:10ec:1	SCRIPT2	Honk	1	0x10ec	0x0b56	explanations	1	0x0001	talk	36
script2:Honk:10ec:2	SCRIPT2	Honk	1	0x10ec	0x0b56	explanations	2	0x085d	blood	36
script2:Honk:10ec:3	SCRIPT2	Honk	1	0x10ec	0x0b56	explanations	3	0x462f	Bob_Morlock	36
script2:Honk:10ec:4	SCRIPT2	Honk	1	0x10ec	0x0b56	explanations	4	0x17b5	Honk	36
script2:Honk:10ec:5	SCRIPT2	Honk	1	0x10ec	0x0b56	explanations	5	0x0b19	Ark	36
script2:Honk:10ec:6	SCRIPT2	Honk	1	0x10ec	0x0b56	explanations	6	0x463b	Ma	36
script2:Honk:10ec:7	SCRIPT2	Honk	1	0x10ec	0x0b56	explanations	7	0x1e14	Orxx	36
script2:Honk:10ec:8	SCRIPT2	Honk	1	0x10ec	0x0b56	explanations	8	0x15f9	Olga	36
script2:Honk:10ec:9	SCRIPT2	Honk	1	0x10ec	0x0b56	explanations	9	0x463e	Big_Bang	36
script2:Honk:10ec:10	SCRIPT2	Honk	1	0x10ec	0x0b56	explanations	10	0x4647	Black_holes	36
script2:Izwalito:16e1:0	SCRIPT2	Izwalito	2	0x16e1	0x494e	talk1	0	0x0006	hello	2
script2:Izwalito:16e1:1	SCRIPT2	Izwalito	2	0x16e1	0x494e	talk1	1	0x0001	talk	2
script2:Izwalito:1717:0	SCRIPT2	Izwalito	2	0x1717	0x0001	talk	0	0x0b4e	bye_bye	1
script2:Izwalito:1717:1	SCRIPT2	Izwalito	2	0x1717	0x0001	talk	1	0x1843	Izwal	1
script2:Izwalito:1717:2	SCRIPT2	Izwalito	2	0x1717	0x0001	talk	2	0x1566	food	1
script2:Izwalito:1717:3	SCRIPT2	Izwalito	2	0x1717	0x0001	talk	3	0x0a8f	planet	1
script2:Izwalito:1717:4	SCRIPT2	Izwalito	2	0x1717	0x0001	talk	4	0x4954	reproduction	1
script2:Izwalito:1743:0	SCRIPT2	Izwalito	2	0x1743	0x1843	Izwal	0	0x0001	talk	15
script2:Izwalito:1743:1	SCRIPT2	Izwalito	2	0x1743	0x1843	Izwal	1	0x0b4e	bye_bye	15
script2:Izwalito:1743:2	SCRIPT2	Izwalito	2	0x1743	0x1843	Izwal	2	0x4961	society	15
script2:Izwalito:1743:3	SCRIPT2	Izwalito	2	0x1743	0x1843	Izwal	3	0x4969	ideal	15
script2:Izwalito:1743:4	SCRIPT2	Izwalito	2	0x1743	0x1843	Izwal	4	0x496f	happiness	15
script2:Izwalito:1942:0	SCRIPT2	Izwalito	2	0x1942	0x12b1	know	0	0x0001	talk	6
script2:Izwalito:1942:1	SCRIPT2	Izwalito	2	0x1942	0x12b1	know	1	0x0b4e	bye_bye	6
script2:Izwalito:1942:2	SCRIPT2	Izwalito	2	0x1942	0x12b1	know	2	0x123c	Rondo	6
script2:Izwalito:1942:3	SCRIPT2	Izwalito	2	0x1942	0x12b1	know	3	0x16b4	truth	6
script2:Izwalito:19e9:0	SCRIPT2	Izwalito	2	0x19e9	0x1566	food	0	0x0001	talk	8
script2:Izwalito:19e9:1	SCRIPT2	Izwalito	2	0x19e9	0x1566	food	1	0x0b4e	bye_bye	8
script2:Izwalito:19e9:2	SCRIPT2	Izwalito	2	0x19e9	0x1566	food	2	0x28ac	murffalos	8
script2:Izwalito:19e9:3	SCRIPT2	Izwalito	2	0x19e9	0x1566	food	3	0x49df	grass	8
script2:Izwalito:1add:0	SCRIPT2	Izwalito	2	0x1add	0x4954	reproduction	0	0x0001	talk	7
script2:Izwalito:1add:1	SCRIPT2	Izwalito	2	0x1add	0x4954	reproduction	1	0x0b4e	bye_bye	7
script2:Izwalito:1add:2	SCRIPT2	Izwalito	2	0x1add	0x4954	reproduction	2	0x04d0	love	7
script2:Izwalito:1add:3	SCRIPT2	Izwalito	2	0x1add	0x4954	reproduction	3	0x241e	female	7
script2:Izwalito:1add:4	SCRIPT2	Izwalito	2	0x1add	0x4954	reproduction	4	0x28ac	murffalos	7
script2:Izwalito:1bab:0	SCRIPT2	Izwalito	2	0x1bab	0x0a8f	planet	0	0x0001	talk	8
script2:Izwalito:1bab:1	SCRIPT2	Izwalito	2	0x1bab	0x0a8f	planet	1	0x0b4e	bye_bye	8
script2:Izwalito:1bab:2	SCRIPT2	Izwalito	2	0x1bab	0x0a8f	planet	2	0x4a61	ecology	8
script2:Izwalito:1bab:3	SCRIPT2	Izwalito	2	0x1bab	0x0a8f	planet	3	0x21ce	stars	8
script2:Morning_Oil:1cab:0	SCRIPT2	Morning_Oil	3	0x1cab	0x2bfe	broken_down	0	0x0b4e	bye_bye	12
script2:Morning_Oil:1cab:1	SCRIPT2	Morning_Oil	3	0x1cab	0x2bfe	broken_down	1	0x034f	on	12
script2:Morning_Oil:1cab:2	SCRIPT2	Morning_Oil	3	0x1cab	0x2bfe	broken_down	2	0x10ef	off	12
script2:Morning_Oil:1cab:3	SCRIPT2	Morning_Oil	3	0x1cab	0x2bfe	broken_down	3	0x0006	hello	12
script2:Morning_Oil:1cab:4	SCRIPT2	Morning_Oil	3	0x1cab	0x2bfe	broken_down	4	0x187e	yes	12
script2:Morning_Oil:1cab:5	SCRIPT2	Morning_Oil	3	0x1cab	0x2bfe	broken_down	5	0x007f	no	12
script2:Morning_Oil:1cab:6	SCRIPT2	Morning_Oil	3	0x1cab	0x2bfe	broken_down	6	0x05c9	great	12
script2:Morning_Oil:1cab:7	SCRIPT2	Morning_Oil	3	0x1cab	0x2bfe	broken_down	7	0x03ee	in	12
script2:Morning_Oil:1cab:8	SCRIPT2	Morning_Oil	3	0x1cab	0x2bfe	broken_down	8	0x0100	out	12
script2:Morning_Oil:1cab:9	SCRIPT2	Morning_Oil	3	0x1cab	0x2bfe	broken_down	9	0x04f9	more	12
script2:Morning_Oil:1cab:10	SCRIPT2	Morning_Oil	3	0x1cab	0x2bfe	broken_down	10	0x125b	less	12
script2:Morning_Oil:1d75:0	SCRIPT2	Morning_Oil	3	0x1d75	0x3010	letar	0	0x36a0	dream	4
script2:Morning_Oil:1d75:1	SCRIPT2	Morning_Oil	3	0x1d75	0x3010	letar	1	0x12ed	sleep	4
script2:Morning_Oil:1d75:2	SCRIPT2	Morning_Oil	3	0x1d75	0x3010	letar	2	0x4ae6	nightmare	4
script2:Morning_Oil:1d75:3	SCRIPT2	Morning_Oil	3	0x1d75	0x3010	letar	3	0x3016	snore	4
script2:Morning_Oil:1dc3:0	SCRIPT2	Morning_Oil	3	0x1dc3	0x30b0	history	0	0x0b4e	bye_bye	0
script2:Morning_Oil:1dc3:1	SCRIPT2	Morning_Oil	3	0x1dc3	0x30b0	history	1	0x110f	war	0
script2:Morning_Oil:1dc3:2	SCRIPT2	Morning_Oil	3	0x1dc3	0x30b0	history	2	0x0f3e	Croolis	0
script2:Morning_Oil:1dc3:3	SCRIPT2	Morning_Oil	3	0x1dc3	0x30b0	history	3	0x1113	treasure	0
script2:Morning_Oil:1dc3:4	SCRIPT2	Morning_Oil	3	0x1dc3	0x30b0	history	4	0x4b2e	battles	0
script2:Morning_Oil:1dc3:5	SCRIPT2	Morning_Oil	3	0x1dc3	0x30b0	history	5	0x312e	mastachok	0
script2:Morning_Oil:1dd7:0	SCRIPT2	Morning_Oil	3	0x1dd7	0x110f	war	0	0x0b4e	bye_bye	7
script2:Morning_Oil:1dd7:1	SCRIPT2	Morning_Oil	3	0x1dd7	0x110f	war	1	0x30b0	history	7
script2:Morning_Oil:1dd7:2	SCRIPT2	Morning_Oil	3	0x1dd7	0x110f	war	2	0x4b36	fight	7
script2:Morning_Oil:1f19:0	SCRIPT2	Morning_Oil	3	0x1f19	0x0f3e	Croolis	0	0x0b4e	bye_bye	12
script2:Morning_Oil:1f19:1	SCRIPT2	Morning_Oil	3	0x1f19	0x0f3e	Croolis	1	0x30b0	history	12
script2:Morning_Oil:1f19:2	SCRIPT2	Morning_Oil	3	0x1f19	0x0f3e	Croolis	2	0x4bc9	terror	12
script2:Morning_Oil:1f19:3	SCRIPT2	Morning_Oil	3	0x1f19	0x0f3e	Croolis	3	0x4bd0	eviscerator	12
script2:Morning_Oil:1f19:4	SCRIPT2	Morning_Oil	3	0x1f19	0x0f3e	Croolis	4	0x4bdc	emasculator	12
script2:Morning_Oil:20a6:0	SCRIPT2	Morning_Oil	3	0x20a6	0x1113	treasure	0	0x0b4e	bye_bye	9
script2:Morning_Oil:20a6:1	SCRIPT2	Morning_Oil	3	0x20a6	0x1113	treasure	1	0x30b0	history	9
script2:Morning_Oil:20a6:2	SCRIPT2	Morning_Oil	3	0x20a6	0x1113	treasure	2	0x4c8b	hiding_place	9
script2:Morning_Oil:220b:0	SCRIPT2	Morning_Oil	3	0x220b	0x312e	mastachok	0	0x0b4e	bye_bye	5
script2:Morning_Oil:220b:1	SCRIPT2	Morning_Oil	3	0x220b	0x312e	mastachok	1	0x30b0	history	5
script2:Morning_Oil:220b:2	SCRIPT2	Morning_Oil	3	0x220b	0x312e	mastachok	2	0x0a52	information	5
script2:Bug_Deluxe:22c1:0	SCRIPT2	Bug_Deluxe	4	0x22c1	0x3bc6	department	0	0x0b4e	bye_bye	2
script2:Bug_Deluxe:22c1:1	SCRIPT2	Bug_Deluxe	4	0x22c1	0x3bc6	department	1	0x3619	beauty	2
script2:Bug_Deluxe:22c1:2	SCRIPT2	Bug_Deluxe	4	0x22c1	0x3bc6	department	2	0x1566	food	2
script2:Bug_Deluxe:22c1:3	SCRIPT2	Bug_Deluxe	4	0x22c1	0x3bc6	department	3	0x4dd0	sport	2
script2:Bug_Deluxe:22c1:4	SCRIPT2	Bug_Deluxe	4	0x22c1	0x3bc6	department	4	0x4dd6	handywork	2
script2:Bug_Deluxe:22c1:5	SCRIPT2	Bug_Deluxe	4	0x22c1	0x3bc6	department	5	0x4de0	pharmaceutical	2
script2:Bug_Deluxe:22c1:6	SCRIPT2	Bug_Deluxe	4	0x22c1	0x3bc6	department	6	0x4def	leisure	2
script2:Bug_Deluxe:22c1:7	SCRIPT2	Bug_Deluxe	4	0x22c1	0x3bc6	department	7	0x4df7	hifi	2
script2:Bug_Deluxe:2304:0	SCRIPT2	Bug_Deluxe	4	0x2304	0x3619	beauty	0	0x3bc6	department	1
script2:Bug_Deluxe:2304:1	SCRIPT2	Bug_Deluxe	4	0x2304	0x3619	beauty	1	0x0acc	perfume	1
script2:Bug_Deluxe:2304:2	SCRIPT2	Bug_Deluxe	4	0x2304	0x3619	beauty	2	0x4e05	necktie	1
script2:Bug_Deluxe:2304:3	SCRIPT2	Bug_Deluxe	4	0x2304	0x3619	beauty	3	0x4e0d	jewel	1
script2:Bug_Deluxe:2320:0	SCRIPT2	Bug_Deluxe	4	0x2320	0x0acc	perfume	0	0x3619	beauty	1
script2:Bug_Deluxe:2320:1	SCRIPT2	Bug_Deluxe	4	0x2320	0x0acc	perfume	1	0x4e1a	eden	1
script2:Bug_Deluxe:2320:2	SCRIPT2	Bug_Deluxe	4	0x2320	0x0acc	perfume	2	0x4e1f	dune	1
script2:Bug_Deluxe:2320:3	SCRIPT2	Bug_Deluxe	4	0x2320	0x0acc	perfume	3	0x4e24	kroolence	1
script2:Bug_Deluxe:2320:4	SCRIPT2	Bug_Deluxe	4	0x2320	0x0acc	perfume	4	0x4e2e	motoroil	1
script2:Bug_Deluxe:2320:5	SCRIPT2	Bug_Deluxe	4	0x2320	0x0acc	perfume	5	0x4e37	turbulence	1
script2:Bug_Deluxe:2342:0	SCRIPT2	Bug_Deluxe	4	0x2342	0x4e1a	eden	0	0x3bc6	department	2
script2:Bug_Deluxe:2342:1	SCRIPT2	Bug_Deluxe	4	0x2342	0x4e1a	eden	1	0x2498	buy	2
script2:Bug_Deluxe:2342:2	SCRIPT2	Bug_Deluxe	4	0x2342	0x4e1a	eden	2	0x0acc	perfume	2
script2:Bug_Deluxe:23a5:0	SCRIPT2	Bug_Deluxe	4	0x23a5	0x4e1f	dune	0	0x3bc6	department	2
script2:Bug_Deluxe:23a5:1	SCRIPT2	Bug_Deluxe	4	0x23a5	0x4e1f	dune	1	0x2498	buy	2
script2:Bug_Deluxe:23a5:2	SCRIPT2	Bug_Deluxe	4	0x23a5	0x4e1f	dune	2	0x0acc	perfume	2
script2:Bug_Deluxe:2404:0	SCRIPT2	Bug_Deluxe	4	0x2404	0x4e24	kroolence	0	0x3bc6	department	2
script2:Bug_Deluxe:2404:1	SCRIPT2	Bug_Deluxe	4	0x2404	0x4e24	kroolence	1	0x2498	buy	2
script2:Bug_Deluxe:2404:2	SCRIPT2	Bug_Deluxe	4	0x2404	0x4e24	kroolence	2	0x0acc	perfume	2
script2:Bug_Deluxe:246b:0	SCRIPT2	Bug_Deluxe	4	0x246b	0x4e2e	motoroil	0	0x3bc6	department	2
script2:Bug_Deluxe:246b:1	SCRIPT2	Bug_Deluxe	4	0x246b	0x4e2e	motoroil	1	0x2498	buy	2
script2:Bug_Deluxe:246b:2	SCRIPT2	Bug_Deluxe	4	0x246b	0x4e2e	motoroil	2	0x0acc	perfume	2
script2:Bug_Deluxe:24ce:0	SCRIPT2	Bug_Deluxe	4	0x24ce	0x4e37	turbulence	0	0x3bc6	department	2
script2:Bug_Deluxe:24ce:1	SCRIPT2	Bug_Deluxe	4	0x24ce	0x4e37	turbulence	1	0x2498	buy	2
script2:Bug_Deluxe:24ce:2	SCRIPT2	Bug_Deluxe	4	0x24ce	0x4e37	turbulence	2	0x0acc	perfume	2
script2:Bug_Deluxe:252b:0	SCRIPT2	Bug_Deluxe	4	0x252b	0x4e05	necktie	0	0x3619	beauty	1
script2:Bug_Deluxe:252b:1	SCRIPT2	Bug_Deluxe	4	0x252b	0x4e05	necktie	1	0x2f51	hide	1
script2:Bug_Deluxe:252b:2	SCRIPT2	Bug_Deluxe	4	0x252b	0x4e05	necktie	2	0x2567	hair	1
script2:Bug_Deluxe:252b:3	SCRIPT2	Bug_Deluxe	4	0x252b	0x4e05	necktie	3	0x47ac	synthetic	1
script2:Bug_Deluxe:254d:0	SCRIPT2	Bug_Deluxe	4	0x254d	0x2f51	hide	0	0x3bc6	department	2
script2:Bug_Deluxe:254d:1	SCRIPT2	Bug_Deluxe	4	0x254d	0x2f51	hide	1	0x2498	buy	2
script2:Bug_Deluxe:254d:2	SCRIPT2	Bug_Deluxe	4	0x254d	0x2f51	hide	2	0x4e05	necktie	2
script2:Bug_Deluxe:25b0:0	SCRIPT2	Bug_Deluxe	4	0x25b0	0x2567	hair	0	0x3bc6	department	2
script2:Bug_Deluxe:25b0:1	SCRIPT2	Bug_Deluxe	4	0x25b0	0x2567	hair	1	0x2498	buy	2
script2:Bug_Deluxe:25b0:2	SCRIPT2	Bug_Deluxe	4	0x25b0	0x2567	hair	2	0x4e05	necktie	2
script2:Bug_Deluxe:2601:0	SCRIPT2	Bug_Deluxe	4	0x2601	0x47ac	synthetic	0	0x3bc6	department	2
script2:Bug_Deluxe:2601:1	SCRIPT2	Bug_Deluxe	4	0x2601	0x47ac	synthetic	1	0x2498	buy	2
script2:Bug_Deluxe:2601:2	SCRIPT2	Bug_Deluxe	4	0x2601	0x47ac	synthetic	2	0x4e05	necktie	2
script2:Bug_Deluxe:2660:0	SCRIPT2	Bug_Deluxe	4	0x2660	0x4f8c	make_up	0	0x3bc6	department	1
script2:Bug_Deluxe:2660:1	SCRIPT2	Bug_Deluxe	4	0x2660	0x4f8c	make_up	1	0x4f94	rouge	1
script2:Bug_Deluxe:2660:2	SCRIPT2	Bug_Deluxe	4	0x2660	0x4f8c	make_up	2	0x06db	cream	1
script2:Bug_Deluxe:2680:0	SCRIPT2	Bug_Deluxe	4	0x2680	0x4f94	rouge	0	0x3bc6	department	0
script2:Bug_Deluxe:2680:1	SCRIPT2	Bug_Deluxe	4	0x2680	0x4f94	rouge	1	0x3619	beauty	0
script2:Bug_Deluxe:2680:2	SCRIPT2	Bug_Deluxe	4	0x2680	0x4f94	rouge	2	0x4fa4	crimson	0
script2:Bug_Deluxe:2680:3	SCRIPT2	Bug_Deluxe	4	0x2680	0x4f94	rouge	3	0x0857	green	0
script2:Bug_Deluxe:2680:4	SCRIPT2	Bug_Deluxe	4	0x2680	0x4f94	rouge	4	0x0c2a	black	0
script2:Bug_Deluxe:2680:5	SCRIPT2	Bug_Deluxe	4	0x2680	0x4f94	rouge	5	0x49da	blue	0
script2:Bug_Deluxe:2694:0	SCRIPT2	Bug_Deluxe	4	0x2694	0x4fa4	crimson	0	0x2498	buy	2
script2:Bug_Deluxe:2694:1	SCRIPT2	Bug_Deluxe	4	0x2694	0x4fa4	crimson	1	0x4f94	rouge	2
script2:Bug_Deluxe:26e5:0	SCRIPT2	Bug_Deluxe	4	0x26e5	0x0857	green	0	0x2498	buy	2
script2:Bug_Deluxe:26e5:1	SCRIPT2	Bug_Deluxe	4	0x26e5	0x0857	green	1	0x4f94	rouge	2
script2:Bug_Deluxe:2740:0	SCRIPT2	Bug_Deluxe	4	0x2740	0x0c2a	black	0	0x2498	buy	2
script2:Bug_Deluxe:2740:1	SCRIPT2	Bug_Deluxe	4	0x2740	0x0c2a	black	1	0x4f94	rouge	2
script2:Bug_Deluxe:279d:0	SCRIPT2	Bug_Deluxe	4	0x279d	0x49da	blue	0	0x2498	buy	2
script2:Bug_Deluxe:279d:1	SCRIPT2	Bug_Deluxe	4	0x279d	0x49da	blue	1	0x4f94	rouge	2
script2:Bug_Deluxe:2802:0	SCRIPT2	Bug_Deluxe	4	0x2802	0x06db	cream	0	0x3bc6	department	1
script2:Bug_Deluxe:2802:1	SCRIPT2	Bug_Deluxe	4	0x2802	0x06db	cream	1	0x4ff2	painkiller	1
script2:Bug_Deluxe:2802:2	SCRIPT2	Bug_Deluxe	4	0x2802	0x06db	cream	2	0x4ffd	musclor	1
script2:Bug_Deluxe:2802:3	SCRIPT2	Bug_Deluxe	4	0x2802	0x06db	cream	3	0x5005	meteor	1
script2:Bug_Deluxe:2824:0	SCRIPT2	Bug_Deluxe	4	0x2824	0x4ff2	painkiller	0	0x2498	buy	2
script2:Bug_Deluxe:2824:1	SCRIPT2	Bug_Deluxe	4	0x2824	0x4ff2	painkiller	1	0x06db	cream	2
script2:Bug_Deluxe:2881:0	SCRIPT2	Bug_Deluxe	4	0x2881	0x4ffd	musclor	0	0x2498	buy	2
script2:Bug_Deluxe:2881:1	SCRIPT2	Bug_Deluxe	4	0x2881	0x4ffd	musclor	1	0x06db	cream	2
script2:Bug_Deluxe:28e0:0	SCRIPT2	Bug_Deluxe	4	0x28e0	0x5005	meteor	0	0x2498	buy	2
script2:Bug_Deluxe:28e0:1	SCRIPT2	Bug_Deluxe	4	0x28e0	0x5005	meteor	1	0x06db	cream	2
script2:Bug_Deluxe:2939:0	SCRIPT2	Bug_Deluxe	4	0x2939	0x4e0d	jewel	0	0x3bc6	department	1
script2:Bug_Deluxe:2939:1	SCRIPT2	Bug_Deluxe	4	0x2939	0x4e0d	jewel	1	0x506f	necklace	1
script2:Bug_Deluxe:2939:2	SCRIPT2	Bug_Deluxe	4	0x2939	0x4e0d	jewel	2	0x5078	bracelet	1
script2:Bug_Deluxe:2959:0	SCRIPT2	Bug_Deluxe	4	0x2959	0x506f	necklace	0	0x2498	buy	2
script2:Bug_Deluxe:2959:1	SCRIPT2	Bug_Deluxe	4	0x2959	0x506f	necklace	1	0x4e0d	jewel	2
script2:Bug_Deluxe:29c6:0	SCRIPT2	Bug_Deluxe	4	0x29c6	0x5078	bracelet	0	0x2498	buy	2
script2:Bug_Deluxe:29c6:1	SCRIPT2	Bug_Deluxe	4	0x29c6	0x5078	bracelet	1	0x4e0d	jewel	2
script2:Bug_Deluxe:2a27:0	SCRIPT2	Bug_Deluxe	4	0x2a27	0x1566	food	0	0x3bc6	department	1
script2:Bug_Deluxe:2a27:1	SCRIPT2	Bug_Deluxe	4	0x2a27	0x1566	food	1	0x0d17	murffalo	1
