segment	offset	symbols	status	canonical_owner	rust_path	evidence
DATA	0x0B3B	mouse_motion_idle_counter,mouse_motion_idle_counter_ds,vm_dialog_gate_0b3b,vm_dialog_gate_0b3b_gs	verified_shared	RuntimeGameLifecycleHost::timer.mouse_motion_idle_counter	crates/commander-blood-game/src/runtime/game_lifecycle.rs	native::bloodprg::sequence::tests::sequence_requests_match_every_original_a8_vector
DATA	0x0BA0	music_voc_name_unchanged,snd_driver_pending_flag,snd_driver_pending_flag_gs,snd_loader_flags_word	verified_eliminated_adapter	AudioDriverRequests and typed overlay audio state	crates/commander-blood-game/src/native/bloodprg/audio_stream.rs	native::bloodprg::audio_stream::tests::stream_start_matches_every_original_gate_and_descriptor_vector;native::bloodprg::alien_cycle::tests::cycle_matches_every_original_coordinator_vector
DATA	0x0BA1	music_voc_name_changed,snd_music_voc_name_changed	pending_review	-	-	-
DATA	0x0BA3	snd_stream_channel_active,voc_tablo2_active	pending_review	-	-	-
DATA	0x0C3B	startup_audio_driver_id,startup_audio_resource_id	verified_eliminated_adapter	RuntimeAudioHost SDL configuration	crates/commander-blood-game/src/runtime/audio.rs	native::bloodprg::startup::tests::option_dispatch_matches_every_original_semantic_vector
DATA	0x0D30	music_voc_name_field,voc_tablo2_reset_gate	verified_eliminated_adapter	DescriptMusicName and RuntimeAudioHost	crates/commander-blood-game/src/native/bloodprg/descript.rs	native::bloodprg::descript::tests::music_selection_matches_every_original_clean_comparison_vector;runtime::audio::tests::stopping_background_preserves_foreground_playback
DATA	0x0D90	list_d8c_tail_offset,list_d8c_tail_pointer	verified_typed_view	PresentationQueueState::tail	crates/commander-blood-game/src/native/bloodprg/presentation_queue.rs	native::bloodprg::presentation_queue::tests::consume_matches_flat_original_vectors;native::bloodprg::presentation_queue::tests::queue_reset_matches_every_flat_original_vector
DATA	0x0DD7	byte_parser_background_slots,startup_transient_paths	pending_review	-	-	-
DATA	0x0E18	credit_text_buffer,vm_text_buffer,vm_text_buffer_gs	pending_review	-	-	-
DATA	0x0F18	byte_parser_stream_0f18_cursor,descript_centered_text_cursor	verified_typed_view	DescriptSequenceSubtitle and SequenceSubtitlePlayback cursors	crates/commander-blood-game/src/native/bloodprg/descript.rs	native::bloodprg::descript::tests::sequence_subtitle_list_matches_every_original_append_vector;native::bloodprg::sequence_subtitles::tests::presenter_matches_every_original_semantic_vector
DATA	0x0F1A	descript_centered_text_events,snd_source_offsets	verified_lifetime_split	Typed DESCRIPT subtitle and SND offset collections	crates/commander-blood-game/src/native/bloodprg/descript.rs	native::bloodprg::descript::tests::sequence_subtitle_list_matches_every_original_append_vector;native::bloodprg::audio_bank::tests::loader_matches_every_original_storage_and_mode_vector
DATA	0x131A	byte_parser_table_131a_cursor,descript_text_record_cursor	verified_typed_view	DescriptPresentationAssets::sequence_videos	crates/commander-blood-game/src/native/bloodprg/descript.rs	native::bloodprg::descript::tests::sequence_video_playlist_matches_every_original_append_vector;native::bloodprg::screen_presentation::tests::phase_machine_matches_every_original_semantic_vector
DATA	0x131C	byte_parser_table_131c_visible_index,list_d8c_sequence_index	pending_review	-	-	-
DATA	0x131E	byte_parser_table_131e_count,descript_text_record_count	verified_typed_view	DescriptPresentationAssets::sequence_videos length	crates/commander-blood-game/src/native/bloodprg/descript.rs	native::bloodprg::descript::tests::sequence_video_playlist_matches_every_original_append_vector;native::bloodprg::screen_presentation::tests::phase_machine_matches_every_original_semantic_vector
DATA	0x24F3	pbm_ship_palette_limit,vm_ship_active_flags,vm_ship_active_flags_gs,vm_ship_active_flags_low	verified_typed_view	ShipPresentationState::flags and PbmDecodeOptions::palette_update	crates/commander-blood-game/src/native/bloodprg/pbm_image.rs	native::bloodprg::pbm_image::tests::decoder_matches_every_applicable_native_oracle_vector
DATA	0x2527	nav_actor_ship_depth_offset,ship_3d_depth_offset,ship_3d_depth_offset_ds	verified_shared	ShipPresentationState::depth_offset	crates/commander-blood-game/src/native/bloodprg/ship_presentation.rs	native::bloodprg::bridge_screen::tests::screen_initialization_matches_every_original_semantic_vector;runtime::services::tests::real_services_run_the_complete_available_startup_slice
DATA	0x2531	ship_3d_depth_step,vm_ship_3d_depth_step,vm_ship_3d_depth_step_gs	verified_shared	ShipPresentationState::depth_step	crates/commander-blood-game/src/native/bloodprg/ship_presentation.rs	runtime::script_backend::tests::ship_depth_step_alias_round_trips_through_script_dispatch_state;native::bloodprg::record_state::tests::record_clear_handler_matches_every_original_decision_vector
DATA	0x2736	nav_choice_left_motion_active,save_request_active	verified_eliminated_adapter	RuntimeSaveLoad::state.requests.save	crates/commander-blood-game/src/runtime/save_load.rs	native::bloodprg::bridge_console::tests::options_handler_matches_authored_rows_and_rejects_abi_aliases;runtime::save_load::tests::requests_and_cancel_share_the_recovered_menu_state
DATA	0x2737	load_request_active,nav_choice_right_motion_active	verified_eliminated_adapter	RuntimeSaveLoad::state.requests.load	crates/commander-blood-game/src/runtime/save_load.rs	native::bloodprg::bridge_console::tests::options_handler_matches_authored_rows_and_rejects_abi_aliases;runtime::save_load::tests::requests_and_cancel_share_the_recovered_menu_state
DATA	0x2738	nav_choice_motion_active,save_slot_menu_phase	verified_eliminated_adapter	RuntimeSaveLoad::state.phase	crates/commander-blood-game/src/runtime/save_load.rs	native::bloodprg::bridge_console::tests::options_handler_matches_authored_rows_and_rejects_abi_aliases;runtime::save_load::tests::requests_and_cancel_share_the_recovered_menu_state
DATA	0x2739	quicksave_request_active,ship_3d_navigation_snapshot_pending	verified_eliminated_adapter	RuntimeSaveLoad::state.requests.quick_save	crates/commander-blood-game/src/runtime/ship_navigation.rs	native::bloodprg::ship_navigation::tests::navigation_coordinator_matches_every_original_vector;runtime::ship_navigation::tests::navigation_snapshot_alias_is_consumed_once_for_quick_save
DATA	0x274F	pbm_scene_palette_limit,vm_scene_gate,vm_scene_gate_gs	verified_typed_view	GamePresentationState::scene_gate_active and PbmDecodeOptions::palette_update	crates/commander-blood-game/src/native/bloodprg/pbm_image.rs	native::bloodprg::pbm_image::tests::decoder_matches_every_applicable_native_oracle_vector
DATA	0x2793	byte_parser_ui_state,vm_ui_state,vm_ui_state_gs	pending_review	-	-	-
DATA	0x27CD	main_font_draw_width,square_caps_draw_width	verified_eliminated_adapter	GameFontDrawOutcome::draw_width	crates/commander-blood-game/src/native/bloodprg/font.rs	native::bloodprg::font::tests::square_caps_draw_matches_every_flat_original_vector;native::bloodprg::font::tests::main_font_draw_matches_every_flat_original_vector
DATA	0x27D8	ship_3d_navigation_trigger,vm_bridge_redraw_pending,vm_bridge_redraw_pending_gs	verified_shared	ShipPresentationState::bridge_redraw_pending	crates/commander-blood-game/src/native/bloodprg/ship_presentation.rs	native::bloodprg::ship_navigation::tests::navigation_coordinator_matches_every_original_vector
DATA	0x27D9	nav_screen_rebuild_pending,nav_screen_rebuild_pending_gs,save_load_redraw_pending	verified_shared	GameLifecycleState::navigation_rebuild_pending	crates/commander-blood-game/src/native/bloodprg/game_lifecycle.rs	native::bloodprg::scene_transition::tests::coordinator_matches_every_original_scene_transition_vector
DATA	0x2A19	nav_console_selected_item,vm_presentation_input_gate	verified_shared	RuntimeBridgeConsole::console.selected	crates/commander-blood-game/src/runtime/bridge_console.rs	native::bloodprg::presentation_scan::tests::presentation_scan_accounts_for_every_original_natural_vector
DATA	0x2A1B	bridge_panorama_stations,nav_actor_slots,ship_3d_matrix_slots	verified_shared	ModernGameServices::nav_actor_slots	crates/commander-blood-game/src/runtime/services.rs	native::bloodprg::bridge_panorama::tests::loader_matches_valid_original_vectors_and_rejects_unchecked_station_overflow;native::bloodprg::actor_slots::tests::update_loop_matches_every_original_semantic_vector
DATA	0x2AAB	nav_location_panel_current_rect,presentation_choice_current_rect,save_slot_row_x	verified_lifetime_split	ChoiceListRect per exclusive modal owner	crates/commander-blood-game/src/runtime/choice_list.rs	native::bloodprg::choice_list::tests::layout_and_interaction_match_every_flat_original_vector;native::bloodprg::location_panel::tests::panel_dispatch_matches_every_original_vector
DATA	0x2B93	nav_actor_zoom_counter,presentation_box_phase	verified_shared	PresentationScreenState::phase	crates/commander-blood-game/src/native/bloodprg/screen_presentation.rs	native::bloodprg::actor_handler_panel::tests::actor_matches_every_original_semantic_vector
DATA	0x2BC7	nav_location_panel_art_table,ship_3d_hud_layout	pending_review	-	-	-
DATA	0x5219	graphics_draw_framebuffer,graphics_draw_framebuffer_ds,graphics_draw_page_offset	verified_eliminated_adapter	Explicit framebuffer slices and render targets	crates/commander-blood-game/src/runtime/state.rs	native::bloodprg::manu3_hand::tests::hand_dispatch_matches_every_original_state_vector;native::bloodprg::framebuffer_copy::tests::chunky_presentation_matches_every_flat_original_crop_vector
DATA	0x521D	graphics_screen_buffer,graphics_screen_buffer_ds,graphics_screen_page_offset	verified_eliminated_adapter	Explicit front-buffer and surface borrows	crates/commander-blood-game/src/runtime/state.rs	native::bloodprg::hud_refresh::tests::refresh_gate_matches_every_original_vector;native::bloodprg::framebuffer_copy::tests::chunky_presentation_matches_every_flat_original_crop_vector
DATA	0x5221	bloodprg_display_buffer,bridge_panorama_load_buffer,graphics_display_buffer,graphics_display_buffer_ds	verified_eliminated_adapter	OriginalGameRuntime::front_buffer	crates/commander-blood-game/src/runtime/state.rs	native::bloodprg::raster_primitives::tests::horizontal_spans_match_every_flat_original_vector;native::bloodprg::bridge_panorama::tests::loader_matches_valid_original_vectors_and_rejects_unchecked_station_overflow
DATA	0x5229	bloodprg_secondary_buffer,byte_parser_back_buffer,graphics_back_buffer,graphics_back_buffer_ds	verified_eliminated_adapter	OriginalGameRuntime::back_buffer	crates/commander-blood-game/src/runtime/state.rs	native::bloodprg::framebuffer_copy::tests::complete_frame_copies_match_every_original_extent_vector;native::bloodprg::pbm_image::tests::decoder_matches_every_applicable_native_oracle_vector
DATA	0x5235	bloodprg_clip_bounds,graphics_clip_left,ship_3d_clip_left	verified_typed_view	BridgeSpriteRect and ShipProjectionClip left edge	crates/commander-blood-game/src/native/bloodprg/sprite_geometry.rs	native::bloodprg::raster_primitives::tests::horizontal_spans_match_every_flat_original_vector;native::bloodprg::ship_projection::tests::point_plot_matches_valid_vectors_and_rejects_wrapping_coordinates
DATA	0x5237	graphics_clip_right,ship_3d_clip_right	verified_typed_view	BridgeSpriteRect and ShipProjectionClip right edge	crates/commander-blood-game/src/native/bloodprg/sprite_geometry.rs	native::bloodprg::raster_primitives::tests::horizontal_spans_match_every_flat_original_vector;native::bloodprg::ship_projection::tests::point_plot_matches_valid_vectors_and_rejects_wrapping_coordinates
DATA	0x5239	graphics_band_top_row,ship_3d_clip_top	verified_typed_view	Typed render-band and ShipProjectionClip top edges	crates/commander-blood-game/src/native/bloodprg/raster_primitives.rs	native::bloodprg::raster_primitives::tests::horizontal_spans_match_every_flat_original_vector;native::bloodprg::scene_transition::tests::coordinator_matches_every_original_scene_transition_vector
DATA	0x523B	graphics_band_bottom_row,ship_3d_clip_bottom	verified_typed_view	Typed render-band and ShipProjectionClip bottom edges	crates/commander-blood-game/src/native/bloodprg/raster_primitives.rs	native::bloodprg::raster_primitives::tests::planar_vertical_spans_match_every_flat_original_vector;native::bloodprg::ship_projection::tests::point_plot_matches_valid_vectors_and_rejects_wrapping_coordinates
DATA	0x5251	live_palette,nav_actor_live_palette_dwords,palette_low_5251_dwords,pbm_live_palette,scene_palette_dwords	verified_shared	OriginalGameRuntime::live_palette	crates/commander-blood-game/src/runtime/presentation_scene.rs	runtime::presentation_scene::tests::loaded_scene_palette_publishes_through_the_native_live_palette_alias;native::bloodprg::pbm_image::tests::decoder_matches_every_applicable_native_oracle_vector
DATA	0x5851	palette_low_5851_dwords,palette_transition_source,palette_transition_source_gs	verified_shared	RuntimePaletteTransition::source	crates/commander-blood-game/src/runtime/palette_transition.rs	native::bloodprg::palette_update::tests::transition_step_matches_every_original_palette_vector;runtime::palette_transition::tests::presentation_palette_refreshes_only_the_native_transition_source_prefix
DATA	0x5B55	palette_dirty,pbm_palette_dirty	pending_review	-	-	-
DATA	0x5B57	page_flip_transparent_zero,pbm_transparent_zero,pbm_transparent_zero_ds	verified_typed_view	PbmTransparency and BridgePageState::transparent_zero	crates/commander-blood-game/src/native/bloodprg/pbm_image.rs	native::bloodprg::pbm_image::tests::decoder_matches_every_applicable_native_oracle_vector;native::bloodprg::bridge_page::tests::page_preparation_matches_every_original_call_and_flag_vector
DATA	0x5B58	bridge_panorama_palette,nav_actor_bridge_palette_dwords	verified_shared	ModernGameServices::bridge_palette	crates/commander-blood-game/src/runtime/services.rs	native::bloodprg::actor_handler_palette::tests::actor_matches_every_original_semantic_vector;native::bloodprg::bridge_panorama::tests::loader_matches_valid_original_vectors_and_rejects_unchecked_station_overflow
DATA	0x5E58	credit_reveal_timer,subtitle_reveal_cursor,vm_text_reveal_cursor,vm_text_reveal_cursor_gs	pending_review	-	-	-
DATA	0x5E64	credit_reveal_active,vm_text_display_active,vm_text_display_active_gs	verified_shared	TextPresentationState::subtitle_display_active	crates/commander-blood-game/src/native/bloodprg/text_handler.rs	native::bloodprg::text_handler::tests::every_original_a6_vector_matches_flat_typed_state;native::bloodprg::subtitle_reveal::tests::subtitle_reveal_matches_every_original_vector
DATA	0x5F11	bloodprg_sprite_remap_5f11,graphics_span_remap_table	verified_lifetime_split	PaletteRemapTable per exclusive raster owner	crates/commander-blood-game/src/native/bloodprg/palette_pipeline.rs	native::bloodprg::palette_pipeline::tests::blend_remap_matches_every_original_palette_vector;native::bloodprg::sprite_blitter::tests::raw_transparent_blitter_matches_every_canonical_original_vector
DATA	0x671C	vm_resource_images,vm_script_image	verified_typed_view	LoadedScriptProfile and typed scan state	crates/commander-blood-game/src/native/bloodprg/script_profile.rs	native::bloodprg::script_profile::tests::profile_loading_matches_every_shipped_script_image;native::bloodprg::presentation_scan::tests::presentation_scan_accounts_for_every_original_natural_vector
DATA	0x6754	nav_choice_honk_record,vm_named_honk_object,vm_named_honk_object_gs	verified_shared	ScriptProfileBuiltins::horn	crates/commander-blood-game/src/native/bloodprg/script_profile.rs	native::bloodprg::script_profile::tests::profile_loading_matches_every_shipped_script_image;native::bloodprg::bridge_console::tests::options_handler_matches_authored_rows_and_rejects_abi_aliases
DATA	0x6756	nav_choice_radio_record,vm_named_menu_object	verified_shared	ScriptProfileBuiltins::menu	crates/commander-blood-game/src/native/bloodprg/script_profile.rs	native::bloodprg::script_profile::tests::profile_loading_matches_every_shipped_script_image;native::bloodprg::bridge_console::tests::options_handler_matches_authored_rows_and_rejects_abi_aliases
DATA	0x67AD	vm_query_mode,vm_query_mode_gs,vm_query_mode_word	verified_shared	ScriptRuntime::query_mode	crates/commander-blood-game/src/native/bloodprg/script.rs	native::bloodprg::script::tests::query_guards_match_every_original_semantic_vector
DATA	0x67AF	vm_presentation_related_flag20,vm_profile_flag_67af	verified_shared	ScriptPresentationScanState::related_presentable	crates/commander-blood-game/src/native/bloodprg/presentation_scan.rs	native::bloodprg::presentation_scan::tests::presentation_scan_accounts_for_every_original_natural_vector
DATA	0x67BA	vm_presentation_text_wait,vm_presentation_text_wait_gs,vm_presentation_word_choice_phase	verified_eliminated_adapter	RuntimePresentationWordChoice::state.phase	crates/commander-blood-game/src/runtime/word_choice.rs	runtime::word_choice::tests::reset_clears_every_persistent_word_choice_owner;native::bloodprg::presentation_scan::tests::presentation_scan_accounts_for_every_original_natural_vector;native::bloodprg::scene_transition::tests::coordinator_matches_every_original_scene_transition_vector
DATA	0x6D3E	nav_contact_slot_words,vm_special_slots	verified_shared	AboardObjectRoster	crates/commander-blood-game/src/native/bloodprg/aboard.rs	native::bloodprg::aboard::tests::aboard_updates_match_every_original_semantic_vector;native::bloodprg::bridge_console::tests::options_handler_matches_authored_rows_and_rejects_abi_aliases
DATA	0x7362	square_caps_character_map,square_caps_draw_character_map	verified_shared	BloodprgFontResources::square_caps_character_map	crates/commander-blood-formats/src/bloodprg.rs	native::bloodprg::font::tests::dual_font_width_matches_every_original_vector;native::bloodprg::font::tests::square_caps_draw_matches_every_flat_original_vector
DATA	0x7412	square_caps_advance_table,square_caps_draw_advance_table	verified_typed_view	BloodprgFontResources square-caps advance views	crates/commander-blood-formats/src/bloodprg.rs	bloodprg::tests::executable_font_tables_decode_into_independent_owned_arrays;native::bloodprg::font::tests::square_caps_draw_matches_every_flat_original_vector
DATA	0x7802	main_font_character_map,main_font_draw_character_map	verified_shared	BloodprgFontResources::main_character_map	crates/commander-blood-formats/src/bloodprg.rs	native::bloodprg::font::tests::dual_font_width_matches_every_original_vector;native::bloodprg::font::tests::main_font_draw_matches_every_flat_original_vector
DATA	0x78B2	main_font_advance_table,main_font_draw_advance_table	verified_typed_view	BloodprgFontResources main advance views	crates/commander-blood-formats/src/bloodprg.rs	bloodprg::tests::executable_font_tables_decode_into_independent_owned_arrays;native::bloodprg::font::tests::main_font_draw_matches_every_flat_original_vector
FS	0x0C00	resource_current_handle,resource_current_handle_fs	verified_eliminated_adapter	ResourceId operation arguments	crates/commander-blood-game/src/native/bloodprg/resource_cache.rs	native::bloodprg::resource_cache::tests::ordinary_load_resolve_size_reuse_and_release_are_owned_operations;native::bloodprg::diagnostics::tests::overlay_composition_matches_every_original_mode_vector
FS	0x0C04	fs_presentation_resource_names,resource_name_table	verified_shared	OriginalGameData::resource_catalog	crates/commander-blood-game/src/runtime.rs	native::bloodprg::resource_cache::tests::executable_catalog_recovers_every_authored_resource_name;native::bloodprg::presentation_line::tests::playback_matches_every_original_semantic_vector
