script	procedure	procedure_offset	contact_offset	entry_class	contact_object	object_offset	entry_tokens	presentations	texts	first_text_offset	first_subtitle
SCRIPT4	revel	0x4F90	0x4F94	conditioned	Bob_Morlock	0x0242	3	1	15	0x4FA9	I'm going to tell you an  unbearable truth, Commander:
SCRIPT5	Beau	0x00F6	0x00FA	direct	Beauregard	0x04CA	1	1	2	0x0101	Let me sleep... Commander...
SCRIPT5	cla	0x0120	0x0124	direct	Anna_Haf	0x03F2	1	1	2	0x012B	Let me sleep... Commander...
SCRIPT5	recept	0x014A	0x014E	direct	receiver	0x016A	1	1	2	0x0155	Shhhhhh... Shhhhh...
SCRIPT5	morn	0x0170	0x0174	direct	Morning_Oil	0x02D2	1	1	2	0x017B	Let me sleep... Commander...
SCRIPT5	ondo1	0x0309	0x030D	direct	ondoyant	0x03AA	1	1	18	0x0314	...
SCRIPT5	boba0	0x0719	0x071D	conditioned	Bob_Morlock	0x004A	2	1	36	0x072B	What's the story??? What's this  BIG BANG business???...
SCRIPT5	boba1	0x0B87	0x0B8B	conditioned	Bob_Morlock	0x004A	3	1	12	0x0B9C	Aaaah...
SCRIPT5	yok1	0x1EB8	0x1EBC	direct	Yoko	0x0242	1	1	7	0x1EC3	Commander... MAXXON and me would  like to get back to our home on  the planet RONDO...
SCRIPT5	max1	0x1FC0	0x1FC4	direct	Maxxon	0x055A	1	1	7	0x1FCB	Commander... Yoko and me would  like to get back to our home on  the planet RONDO...
SCRIPT5	bronk1	0x23ED	0x23F1	conditioned	Bronko	0x0362	2	1	20	0x23FF	Everything's okay, Commander...
SCRIPT5	hom0	0x2765	0x2769	conditioned	Hom	0x01FA	2	1	4	0x2775	Ha! ha! Big Bang... Black holes...  You're out of your mind...
SCRIPT5	hom1	0x27F5	0x27F9	conditioned	Hom	0x01FA	2	1	9	0x2806	Ha! ha! Big Bang... Black holes...  You're out of your mind...
SCRIPT5	scrujo	0x41CE	0x41D2	direct	Scruter_Jo	0x0752	1	1	29	0x41D9	Commander, you go search BIONIUM  in SCRUTER JO's cyberspace...
SCRIPT5	revel	0x4C52	0x4C56	conditioned	Bob_Morlock	0x004A	2	1	15	0x4C64	Would you care to know an  unbearable truth, Commander?
